name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,start
Michael Mina,2019,37.79349,-122.399574,San Francisco,California,94102,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1
Sons & Daughters,2019,37.79037,-122.40917,San Francisco,California,94108,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1
Mister Jiu's,2019,37.79371,-122.406654,San Francisco,California,94108,Chinese,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1
Nico,2019,37.795803,-122.40333,San Francisco,California,94101,Contemporary,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,1
jū-ni,2019,37.77672,-122.43886,San Francisco,California,94117,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1
Keiko à Nob Hill,2019,37.793106,-122.41445,San Francisco,California,94109,Fusion,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1
The Progress,2019,37.78371,-122.43282,San Francisco,California,94115,Californian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1
State Bird Provisions,2019,37.783737,-122.43283,San Francisco,California,94115,American,1400,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1
Octavia,2019,37.787857,-122.42709,San Francisco,California,94109,Californian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1
SPQR,2019,37.78732,-122.43375,San Francisco,California,94115,Italian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1
Lord Stanley,2019,37.79592,-122.42208,San Francisco,California,94109,Californian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,1
Kinjo,2019,37.79699,-122.422005,San Francisco,California,94109,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1
Sorrel,2019,37.788334,-122.44614,San Francisco,California,94101,Californian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1
Gary Danko,2019,37.80599,-122.42066,San Francisco,California,94109,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1
Bar Crenn,2019,37.798435,-122.43581,San Francisco,California,94101,French,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1
Spruce,2019,37.78772,-122.45264,San Francisco,California,94118,Californian,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1
Wako,2019,37.783035,-122.461525,San Francisco,California,94118,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1
Madcap,2019,37.974712,-122.56168,San Francisco,California,94960,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1
Aubergine,2019,36.55406,-121.924355,Monterey,California,93921,Contemporary,1800,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1
Kenzo,2019,38.29924,-122.28928,San Francisco,California,94559,Japanese,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1
La Toque,2019,38.30351,-122.28349,San Francisco,California,94573,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1
Bouchon,2019,38.40258,-122.3619,San Francisco,California,94599,French,1600,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1
Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,California,94573,Californian,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1
Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,California,95436,Californian,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1
The Kitchen,2019,38.58894,-121.41424,Sacramento,California,95825,Contemporary,1800,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1
Madrona Manor,2019,38.60428,-122.88647,San Francisco,California,95448,Contemporary,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1
Harbor House,2019,39.135876,-123.719444,San Francisco,California,1500,Californian,1800,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1
Shin Sushi,2019,34.15784,-118.49415,Los Angeles,California,91436,Japanese,1600,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1
Rustic Canyon,2019,34.024952,-118.49118,Los Angeles,California,90401,Californian,1600,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1
Dialogue,2019,34.01679,-118.49748,Los Angeles,California,90401,Contemporary,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1
Kato,2019,34.041683,-118.460915,Los Angeles,California,90025,Asian,1600,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1
CUT,2019,34.067036,-118.401024,Los Angeles,California,90212,Steakhouse,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1
Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,California,90210,Japanese,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1
Shunji,2019,34.028496,-118.45195,Los Angeles,California,90064,Japanese,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1
Maude,2019,34.064346,-118.39904,Los Angeles,California,90212,Contemporary,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1
Mori Sushi,2019,34.033398,-118.44229,Los Angeles,California,90064,Japanese,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1
Trois Mec,2019,34.084255,-118.33851,Los Angeles,California,90028,Contemporary,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1
Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,California,90028,Italian,1600,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1
Kali,2019,34.083443,-118.32455,Los Angeles,California,90028,Californian,1600,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1
Le Comptoir,2019,34.06354,-118.30057,Los Angeles,California,90020,Californian,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1
Q Sushi,2019,34.046883,-118.255844,Los Angeles,California,90017,Japanese,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1
Shibumi,2019,34.044155,-118.256134,Los Angeles,California,90014,Japanese,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1
Hayato,2019,34.03311,-118.24265,Los Angeles,California,90001,Japanese,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1
Bistro Na's,2019,34.104412,-118.07159,Los Angeles,California,91780,Chinese,1400,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1
Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,California,90013,Fusion,1800,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1
Taco María,2019,33.69475,-117.924965,Costa Mesa,California,92626,Mexican,1600,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1
Hana re,2019,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,1800,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1
Addison,2019,32.939903,-117.20013,San Diego,California,92130,Contemporary,1800,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1
Parachute,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,1400,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1
Goosefoot,2019,41.96856,-87.69596,Chicago,Chicago,60625,Contemporary,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1
Elizabeth,2019,41.969555,-87.688736,Chicago,Chicago,60625,Contemporary,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1
EL Ideas,2019,41.863,-87.68686,Chicago,Chicago,60618,Contemporary,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1
Band of Bohemia,2019,41.967308,-87.67477,Chicago,Chicago,60640,Gastropub,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1
Schwa,2019,41.90888,-87.66792,Chicago,Chicago,60662,Contemporary,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1
Temporis,2019,41.898907,-87.66725,Chicago,Chicago,1500,Contemporary,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1
Entente,2019,41.93721,-87.6652,Chicago,Chicago,60657,Contemporary,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1
Elske,2019,41.884426,-87.66071,Chicago,Chicago,60607,Contemporary,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1
Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,Chicago,60608,Gastropub,1400,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1
Roister,2019,41.886658,-87.65187,Chicago,Chicago,60607,Contemporary,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1
Boka,2019,41.91363,-87.64806,Chicago,Chicago,60614,Contemporary,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1
Blackbird,2019,41.88423,-87.64356,Chicago,Chicago,60661,Contemporary,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1
Sepia,2019,41.88394,-87.64247,Chicago,Chicago,60661,American,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1
North Pond,2019,41.9296,-87.63762,Chicago,Chicago,60614,Contemporary,1600,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1
Everest,2019,41.87597,-87.63212,Chicago,Chicago,60605,French,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1
Topolobampo,2019,41.89047,-87.63085,Chicago,Chicago,60654,Mexican,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1
Spiaggia,2019,41.90062,-87.62457,Chicago,Chicago,60611,Italian,1800,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1
Monte,2019,45.08279,13.631168,Rovinj,Croatia,52210,Creative,2000,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,1
Draga di Lovrana,2019,45.275867,14.251401,Lovran,Croatia,51415,Modern cuisine,2000,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1
Noel,2019,45.811054,15.988205,Zagreb,Croatia,10000,Modern cuisine,2000,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,1
Pelegrini,2019,43.73603,15.888903,Šibenik,Croatia,22000,Modern cuisine,2000,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,1
360º,2019,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern cuisine,2000,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1
Field,2019,50.0919,14.42193,Praha,Czech Republic,110 00,Modern cuisine,2000,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,1
La Degustation Bohême Bourgeoise,2019,50.09115,14.42511,Praha,Czech Republic,110 00,Modern cuisine,2000,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,1
Gastromé,2019,56.15788,10.20937,Aarhus,Denmark,8000,Modern cuisine,1600,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,1
Domestic,2019,56.15893,10.212132,Aarhus,Denmark,8000,Modern cuisine,1600,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,1
Substans,2019,56.15415,10.20372,Aarhus,Denmark,8000,Modern cuisine,1600,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,1
Frederikshøj,2019,56.12497,10.208638,Aarhus,Denmark,8000,Creative,1800,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,1
Me‚Mu,2019,55.70901,9.53302,Vejle,Denmark,7100,Modern cuisine,1600,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu,1
Ti Trin Ned,2019,55.56659,9.752689,Fredericia,Denmark,7000,Modern cuisine,1600,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned,1
Slotskøkkenet,2019,55.771236,11.390805,Hørve,Denmark,4534,Creative,1800,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet,1
Søllerød Kro,2019,55.81325,12.49548,København,Denmark,2840,Modern cuisine,1400,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro,1
Jordnær,2019,55.748226,12.541014,København,Denmark,2820,Danish,1600,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer,1
Relæ,2019,55.693233,12.543222,København,Denmark,2200 N,Modern cuisine,1400,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae,1
Kiin Kiin,2019,55.69188,12.55754,København,Denmark,2200 N,Thai,1400,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin,1
formel B,2019,55.67031,12.53798,København,Denmark,1800 C,Modern cuisine,1400,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,1
Kokkeriet,2019,55.68768,12.58492,København,Denmark,1306 K,Modern cuisine,1600,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet,1
Clou,2019,55.68342,12.58497,København,Denmark,2100 K,Modern cuisine,1800,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,1
Marchal,2019,55.68034,12.58508,København,Denmark,1050 K,Modern cuisine,1400,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal,1
Kong Hans Kælder,2019,55.6787,12.584003,København,Denmark,1070 K,Classic French,1800,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder,1
Stud!o at The Standard,2019,55.67799,12.59191,København,Denmark,1058 K,Creative,1600,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/stud-o-at-the-standard,1
108,2019,55.67785,12.5980835,København,Denmark,1401 K,Modern cuisine,1600,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,1
Era Ora,2019,55.673004,12.591292,København,Denmark,1414 K,Italian,1400,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/era-ora,1
Alouette,2019,55.66265,12.57634,København,Denmark,2300 S,Modern cuisine,1600,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette,1
Frederiksminde,2019,55.12417,12.04623,Præstø,Denmark,4720,Creative,1600,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde,1
Kadeau Bornholm,2019,55.00457,14.969216,Pedersker,Denmark,3720,Creative,1800,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm,1
Ask,2019,60.17236,24.95648,Helsingfors / Helsinki,Finland,170,Modern cuisine,1600,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask,1
Grön,2019,60.16446,24.93308,Helsingfors / Helsinki,Finland,180,Finnish,1600,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron,1
Demo,2019,60.164806,24.941635,Helsingfors / Helsinki,Finland,120,Modern cuisine,1600,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo,1
Olo,2019,60.16616,24.947704,Helsingfors / Helsinki,Finland,170,Modern cuisine,1600,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/olo,1
Palace,2019,60.16556,24.95256,Helsingfors / Helsinki,Finland,130,Modern cuisine,1600,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/palace,1
Ora,2019,60.157578,24.942947,Helsingfors / Helsinki,Finland,150,Modern cuisine,1600,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ora,1
Botrini's,2019,38.02318,23.79377,Athína,Greece,152 33,Mediterranean,2000,https://guide.michelin.com/gr/en/attica/athina/restaurant/botrini-s,1
Varoulko Seaside,2019,37.937378,23.658577,Athína,Greece,185 33,Seafood,2000,https://guide.michelin.com/gr/en/attica/athina/restaurant/varoulko-seaside,1
Hytra,2019,37.95818,23.71895,Athína,Greece,11745,Modern cuisine,2000,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra,1
Loaf On,2019,22.379858,114.27188,Hong Kong,Hong Kong,1500,Cantonese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/loaf-on,1
Lei Garden (Kwun Tong),2019,22.312672,114.22482,Hong Kong,Hong Kong,1500,Cantonese,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong,1
Tim Ho Wan (Sham Shui Po),2019,22.32805,114.16665,Hong Kong,Hong Kong,1500,Dim Sum,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tim-ho-wan-sham-shui-po,1
Lei Garden (Mong Kok),2019,22.320219,114.17133,Hong Kong,Hong Kong,1500,Cantonese,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok,1
Ming Court,2019,22.318314,114.16933,Hong Kong,Hong Kong,1500,Cantonese,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ming-court,1
Yat Tung Heen (Jordan),2019,22.308014,114.17147,Hong Kong,Hong Kong,1500,Cantonese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan,1
Fu Ho (Tsim Sha Tsui),2019,22.3022,114.17194,Hong Kong,Hong Kong,1500,Cantonese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,1
Shang Palace,2019,22.297325,114.177155,Hong Kong,Hong Kong,1500,Cantonese,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/shang-palace,1
IM Teppanyaki & Wine,2019,22.280807,114.19211,Hong Kong,Hong Kong,1500,Teppanyaki,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine,1
Ah Yat Harbour View (Tsim Sha Tsui),2019,22.296984,114.17197,Hong Kong,Hong Kong,1500,Cantonese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui,1
Rech,2019,22.293434,114.174034,Hong Kong,Hong Kong,1500,Seafood,1800,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/rech,1
Spring Moon,2019,22.294943,114.17182,Hong Kong,Hong Kong,1500,Cantonese,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/spring-moon,1
Imperial Treasure Fine Chinese Cuisine,2019,22.296177,114.170006,Hong Kong,Hong Kong,1500,Cantonese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine,1
Sushi Tokami,2019,22.296112,114.16916,Hong Kong,Hong Kong,1500,Sushi,2000,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-tokami,1
Tosca,2019,22.30357,114.16007,Hong Kong,Hong Kong,1500,Italian,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tosca352519,1
Épure,2019,22.29583,114.169304,1500,Hong Kong,1500,French,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/epure,1
Yee Tung Heen,2019,22.282295,114.184135,Hong Kong,Hong Kong,1500,Cantonese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yee-tung-heen,1
Yè Shanghai (Tsim Sha Tsui),2019,22.295143,114.168236,Hong Kong,Hong Kong,1500,Shanghainese,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui,1
Ho Hung Kee,2019,22.280058,114.18364,Hong Kong,Hong Kong,1500,Noodles and congee,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee,1
Jardin de Jade (Wan Chai),2019,22.28025,114.17716,Hong Kong,Hong Kong,1500,Shanghainese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,1
Zhejiang Heen,2019,22.2787,114.17763,Hong Kong,Hong Kong,1500,Shanghainese,1400,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen,1
Takumi by Daisuke Mori,2019,22.276512,114.17718,Hong Kong,Hong Kong,1500,Innovative,2000,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori,1
Kam's Roast Goose,2019,22.277693,114.175385,Hong Kong,Hong Kong,1500,Cantonese Roast Meats,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose,1
Pang's Kitchen,2019,22.26921,114.18452,Hong Kong,Hong Kong,1500,Cantonese,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,1
Xin Rong Ji,2019,22.278013,114.17273,Hong Kong,Hong Kong,1500,Taizhou,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/xin-rong-ji,1
Qi (Wan Chai),2019,22.276443,114.17126,Hong Kong,Hong Kong,1500,Sichuan,1200,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/qi-wan-chai,1
Man Wah,2019,22.282213,114.15951,Hong Kong,Hong Kong,1500,Cantonese,1800,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/man-wah,1
Summer Palace,2019,22.277136,114.1643,Hong Kong,Hong Kong,1500,Cantonese,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/summer-palace,1
Octavium,2019,22.282587,114.1572,Hong Kong,Hong Kong,1500,Italian,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/octavium,1
Arbor,2019,22.283146,114.15542,1500,Hong Kong,1500,Innovative,1600,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arbor,1
VEA,2019,22.284931,114.15313,Hong Kong,Hong Kong,1500,Innovative,2000,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/vea,1
Mandarin Grill + Bar,2019,22.281048,114.1574,Hong Kong,Hong Kong,1500,European contemporary,1800,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar,1
